To Kill a Mockingbird,Harper Lee,9780060935467,J.B. Lippincott & Co.,1960,20,20,Fiction
The Great Gatsby,F. Scott Fitzgerald,9780743273565,Scribner,1925,10,10,Classic
Brave New World,Aldous Huxley,9780060850524,Harper Perennial,1932,12,12,Dystopian
The Catcher in the Rye,J.D. Salinger,9780316769488,Little, Brown and Company,1951,14,14,Fiction
The Lord of the Rings,J.R.R. Tolkien,9780618640157,Houghton Mifflin,1954,25,25,Fantasy
Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780439708180,Scholastic,1997,30,28,Fantasy
The Hobbit,J.R.R. Tolkien,9780547928227,Mariner Books,1937,18,18,Fantasy
Crime and Punishment,Fyodor Dostoevsky,9780140449136,Penguin Classics,1866,10,10,Philosophical
The Brothers Karamazov,Fyodor Dostoevsky,9780140449242,Penguin Classics,1880,8,8,Philosophical
The Road,Cormac McCarthy,9780307387899,Knopf,2006,12,12,Post-apocalyptic
The Alchemist,Paulo Coelho,9780061122415,HarperOne,1988,20,19,Adventure
Life of Pi,Yann Martel,9780156027328,Harcourt,2001,18,17,Adventure
A Tale of Two Cities,Charles Dickens,9780141439600,Penguin Classics,1859,15,14,Historical Fiction
Great Expectations,Charles Dickens,9780141439563,Penguin Classics,1861,10,10,Classic
War and Peace,Leo Tolstoy,9781400079988,Vintage,1869,12,12,Historical Fiction
Anna Karenina,Leo Tolstoy,9780143035008,Penguin Classics,1877,10,9,Classic
Wuthering Heights,Emily Brontë,9780141439556,Penguin Classics,1847,8,8,Classic
